Rectangle 1: x1=352, y1=80, x2=367, y2=95, type_id=3, id=0
Rectangle 69: x1=608, y1=160, x2=623, y2=175, type_id=0, id=0
Rectangle 70: x1=624, y1=160, x2=639, y2=175, type_id=0, id=0
Rectangle 71: x1=736, y1=160, x2=751, y2=175, type_id=0, id=0
Rectangle 72: x1=752, y1=160, x2=767, y2=175, type_id=0, id=0
Rectangle 73: x1=912, y1=160, x2=927, y2=175, type_id=0, id=0
Rectangle 74: x1=928, y1=160, x2=943, y2=175, type_id=0, id=0
Rectangle 75: x1=2176, y1=160, x2=2191, y2=175, type_id=2, id=0
Rectangle 76: x1=2192, y1=160, x2=2207, y2=175, type_id=2, id=0
Rectangle 77: x1=2240, y1=160, x2=2255, y2=175, type_id=2, id=0
Rectangle 78: x1=2256, y1=160, x2=2271, y2=175, type_id=2, id=0
Rectangle 79: x1=2400, y1=160, x2=2415, y2=175, type_id=2, id=0
Rectangle 80: x1=2416, y1=160, x2=2431, y2=175, type_id=2, id=0
Rectangle 81: x1=2432, y1=160, x2=2447, y2=175, type_id=2, id=0
Rectangle 82: x1=2480, y1=160, x2=2495, y2=175, type_id=2, id=0
Rectangle 83: x1=2496, y1=160, x2=2511, y2=175, type_id=2, id=0
Rectangle 84: x1=2928, y1=160, x2=2943, y2=175, type_id=2, id=0
Rectangle 85: x1=2944, y1=160, x2=2959, y2=175, type_id=2, id=0
Rectangle 86: x1=2960, y1=160, x2=2975, y2=175, type_id=2, id=0
Rectangle 87: x1=2976, y1=160, x2=2991, y2=175, type_id=2, id=0
Rectangle 88: x1=2992, y1=160, x2=3007, y2=175, type_id=2, id=0
Rectangle 89: x1=3008, y1=160, x2=3023, y2=175, type_id=2, id=0
Rectangle 90: x1=3024, y1=160, x2=3039, y2=175, type_id=2, id=0
Rectangle 91: x1=448, y1=176, x2=463, y2=191, type_id=0, id=0
Rectangle 92: x1=464, y1=176, x2=479, y2=191, type_id=0, id=0
Rectangle 93: x1=608, y1=176, x2=623, y2=191, type_id=0, id=0
Rectangle 94: x1=624, y1=176, x2=639, y2=191, type_id=0, id=0
Rectangle 95: x1=736, y1=176, x2=751, y2=191, type_id=0, id=0
Rectangle 96: x1=752, y1=176, x2=767, y2=191, type_id=0, id=0
Rectangle 97: x1=912, y1=176, x2=927, y2=191, type_id=0, id=0
Rectangle 98: x1=928, y1=176, x2=943, y2=191, type_id=0, id=0
Rectangle 99: x1=2160, y1=176, x2=2175, y2=191, type_id=2, id=0
Rectangle 100: x1=2176, y1=176, x2=2191, y2=191, type_id=2, id=0
Rectangle 101: x1=2192, y1=176, x2=2207, y2=191, type_id=2, id=0
Rectangle 102: x1=2240, y1=176, x2=2255, y2=191, type_id=2, id=0
Rectangle 103: x1=2256, y1=176, x2=2271, y2=191, type_id=2, id=0
Rectangle 104: x1=2272, y1=176, x2=2287, y2=191, type_id=2, id=0
Rectangle 105: x1=2384, y1=176, x2=2399, y2=191, type_id=2, id=0
Rectangle 106: x1=2400, y1=176, x2=2415, y2=191, type_id=2, id=0
Rectangle 107: x1=2416, y1=176, x2=2431, y2=191, type_id=2, id=0
Rectangle 108: x1=2432, y1=176, x2=2447, y2=191, type_id=2, id=0
Rectangle 109: x1=2480, y1=176, x2=2495, y2=191, type_id=2, id=0
Rectangle 110: x1=2496, y1=176, x2=2511, y2=191, type_id=2, id=0
Rectangle 111: x1=2512, y1=176, x2=2527, y2=191, type_id=2, id=0
Rectangle 112: x1=2608, y1=176, x2=2623, y2=191, type_id=0, id=0
Rectangle 113: x1=2624, y1=176, x2=2639, y2=191, type_id=0, id=0
Rectangle 114: x1=2864, y1=176, x2=2879, y2=191, type_id=0, id=0
Rectangle 115: x1=2880, y1=176, x2=2895, y2=191, type_id=0, id=0
Rectangle 116: x1=2912, y1=176, x2=2927, y2=191, type_id=2, id=0
Rectangle 117: x1=2928, y1=176, x2=2943, y2=191, type_id=2, id=0
Rectangle 118: x1=2944, y1=176, x2=2959, y2=191, type_id=2, id=0
Rectangle 119: x1=2960, y1=176, x2=2975, y2=191, type_id=2, id=0
Rectangle 120: x1=2976, y1=176, x2=2991, y2=191, type_id=2, id=0
Rectangle 121: x1=2992, y1=176, x2=3007, y2=191, type_id=2, id=0
Rectangle 122: x1=3008, y1=176, x2=3023, y2=191, type_id=2, id=0
Rectangle 123: x1=3024, y1=176, x2=3039, y2=191, type_id=2, id=0
Rectangle 124: x1=448, y1=192, x2=463, y2=207, type_id=0, id=0
Rectangle 125: x1=464, y1=192, x2=479, y2=207, type_id=0, id=0
Rectangle 126: x1=608, y1=192, x2=623, y2=207, type_id=0, id=0
Rectangle 127: x1=624, y1=192, x2=639, y2=207, type_id=0, id=0
Rectangle 128: x1=736, y1=192, x2=751, y2=207, type_id=0, id=0
Rectangle 129: x1=752, y1=192, x2=767, y2=207, type_id=0, id=0
Rectangle 130: x1=912, y1=192, x2=927, y2=207, type_id=0, id=0
Rectangle 131: x1=928, y1=192, x2=943, y2=207, type_id=0, id=0
Rectangle 132: x1=2144, y1=192, x2=2159, y2=207, type_id=2, id=0
Rectangle 133: x1=2160, y1=192, x2=2175, y2=207, type_id=2, id=0
Rectangle 134: x1=2176, y1=192, x2=2191, y2=207, type_id=2, id=0
Rectangle 135: x1=2192, y1=192, x2=2207, y2=207, type_id=2, id=0
Rectangle 136: x1=2240, y1=192, x2=2255, y2=207, type_id=2, id=0
Rectangle 137: x1=2256, y1=192, x2=2271, y2=207, type_id=2, id=0
Rectangle 138: x1=2272, y1=192, x2=2287, y2=207, type_id=2, id=0
Rectangle 139: x1=2288, y1=192, x2=2303, y2=207, type_id=2, id=0
Rectangle 140: x1=2368, y1=192, x2=2383, y2=207, type_id=2, id=0
Rectangle 141: x1=2384, y1=192, x2=2399, y2=207, type_id=2, id=0
Rectangle 142: x1=2400, y1=192, x2=2415, y2=207, type_id=2, id=0
Rectangle 143: x1=2416, y1=192, x2=2431, y2=207, type_id=2, id=0
Rectangle 144: x1=2432, y1=192, x2=2447, y2=207, type_id=2, id=0
Rectangle 145: x1=2480, y1=192, x2=2495, y2=207, type_id=2, id=0
Rectangle 146: x1=2496, y1=192, x2=2511, y2=207, type_id=2, id=0
Rectangle 147: x1=2512, y1=192, x2=2527, y2=207, type_id=2, id=0
Rectangle 148: x1=2528, y1=192, x2=2543, y2=207, type_id=2, id=0
Rectangle 149: x1=2608, y1=192, x2=2623, y2=207, type_id=0, id=0
Rectangle 150: x1=2624, y1=192, x2=2639, y2=207, type_id=0, id=0
Rectangle 151: x1=2864, y1=192, x2=2879, y2=207, type_id=0, id=0
Rectangle 152: x1=2880, y1=192, x2=2895, y2=207, type_id=0, id=0
Rectangle 153: x1=2912, y1=192, x2=2927, y2=207, type_id=2, id=0
Rectangle 154: x1=2928, y1=192, x2=2943, y2=207, type_id=2, id=0
Rectangle 155: x1=2944, y1=192, x2=2959, y2=207, type_id=2, id=0
Rectangle 156: x1=2960, y1=192, x2=2975, y2=207, type_id=2, id=0
Rectangle 157: x1=2976, y1=192, x2=2991, y2=207, type_id=2, id=0
Rectangle 158: x1=2992, y1=192, x2=3007, y2=207, type_id=2, id=0
Rectangle 159: x1=3008, y1=192, x2=3023, y2=207, type_id=2, id=0
Rectangle 160: x1=3024, y1=192, x2=3039, y2=207, type_id=2, id=0
Rectangle 161: x1=3168, y1=192, x2=3183, y2=207, type_id=2, id=0
Rectangle 162: x1=0, y1=208, x2=15, y2=223, type_id=0, id=0
Rectangle 163: x1=16, y1=208, x2=31, y2=223, type_id=0, id=0
Rectangle 164: x1=32, y1=208, x2=47, y2=223, type_id=0, id=0
Rectangle 165: x1=48, y1=208, x2=63, y2=223, type_id=0, id=0
Rectangle 166: x1=64, y1=208, x2=79, y2=223, type_id=0, id=0
Rectangle 167: x1=80, y1=208, x2=95, y2=223, type_id=0, id=0
Rectangle 168: x1=96, y1=208, x2=111, y2=223, type_id=0, id=0
Rectangle 169: x1=112, y1=208, x2=127, y2=223, type_id=0, id=0
Rectangle 170: x1=128, y1=208, x2=143, y2=223, type_id=0, id=0
Rectangle 171: x1=144, y1=208, x2=159, y2=223, type_id=0, id=0
Rectangle 172: x1=160, y1=208, x2=175, y2=223, type_id=0, id=0
Rectangle 173: x1=176, y1=208, x2=191, y2=223, type_id=0, id=0
Rectangle 174: x1=192, y1=208, x2=207, y2=223, type_id=0, id=0
Rectangle 175: x1=208, y1=208, x2=223, y2=223, type_id=0, id=0
Rectangle 176: x1=224, y1=208, x2=239, y2=223, type_id=0, id=0
Rectangle 177: x1=240, y1=208, x2=255, y2=223, type_id=0, id=0
Rectangle 178: x1=256, y1=208, x2=271, y2=223, type_id=0, id=0
Rectangle 179: x1=272, y1=208, x2=287, y2=223, type_id=0, id=0
Rectangle 180: x1=288, y1=208, x2=303, y2=223, type_id=0, id=0
Rectangle 181: x1=304, y1=208, x2=319, y2=223, type_id=0, id=0
Rectangle 182: x1=320, y1=208, x2=335, y2=223, type_id=0, id=0
Rectangle 183: x1=336, y1=208, x2=351, y2=223, type_id=0, id=0
Rectangle 184: x1=352, y1=208, x2=367, y2=223, type_id=0, id=0
Rectangle 185: x1=368, y1=208, x2=383, y2=223, type_id=0, id=0
Rectangle 186: x1=384, y1=208, x2=399, y2=223, type_id=0, id=0
Rectangle 187: x1=400, y1=208, x2=415, y2=223, type_id=0, id=0
Rectangle 188: x1=416, y1=208, x2=431, y2=223, type_id=0, id=0
Rectangle 189: x1=432, y1=208, x2=447, y2=223, type_id=0, id=0
Rectangle 190: x1=448, y1=208, x2=463, y2=223, type_id=0, id=0
Rectangle 191: x1=464, y1=208, x2=479, y2=223, type_id=0, id=0
Rectangle 192: x1=480, y1=208, x2=495, y2=223, type_id=0, id=0
Rectangle 193: x1=496, y1=208, x2=511, y2=223, type_id=0, id=0
Rectangle 194: x1=512, y1=208, x2=527, y2=223, type_id=0, id=0
Rectangle 195: x1=528, y1=208, x2=543, y2=223, type_id=0, id=0
Rectangle 196: x1=544, y1=208, x2=559, y2=223, type_id=0, id=0
Rectangle 197: x1=560, y1=208, x2=575, y2=223, type_id=0, id=0
Rectangle 198: x1=576, y1=208, x2=591, y2=223, type_id=0, id=0
Rectangle 199: x1=592, y1=208, x2=607, y2=223, type_id=0, id=0
Rectangle 200: x1=608, y1=208, x2=623, y2=223, type_id=0, id=0
Rectangle 201: x1=624, y1=208, x2=639, y2=223, type_id=0, id=0
Rectangle 202: x1=640, y1=208, x2=655, y2=223, type_id=0, id=0
Rectangle 203: x1=656, y1=208, x2=671, y2=223, type_id=0, id=0
Rectangle 204: x1=672, y1=208, x2=687, y2=223, type_id=0, id=0
Rectangle 205: x1=688, y1=208, x2=703, y2=223, type_id=0, id=0
Rectangle 206: x1=704, y1=208, x2=719, y2=223, type_id=0, id=0
Rectangle 207: x1=720, y1=208, x2=735, y2=223, type_id=0, id=0
Rectangle 208: x1=736, y1=208, x2=751, y2=223, type_id=0, id=0
Rectangle 209: x1=752, y1=208, x2=767, y2=223, type_id=0, id=0
Rectangle 210: x1=768, y1=208, x2=783, y2=223, type_id=0, id=0
Rectangle 211: x1=784, y1=208, x2=799, y2=223, type_id=0, id=0
Rectangle 212: x1=800, y1=208, x2=815, y2=223, type_id=0, id=0
Rectangle 213: x1=816, y1=208, x2=831, y2=223, type_id=0, id=0
Rectangle 214: x1=832, y1=208, x2=847, y2=223, type_id=0, id=0
Rectangle 215: x1=848, y1=208, x2=863, y2=223, type_id=0, id=0
Rectangle 216: x1=864, y1=208, x2=879, y2=223, type_id=0, id=0
Rectangle 217: x1=880, y1=208, x2=895, y2=223, type_id=0, id=0
Rectangle 218: x1=896, y1=208, x2=911, y2=223, type_id=0, id=0
Rectangle 219: x1=912, y1=208, x2=927, y2=223, type_id=0, id=0
Rectangle 220: x1=928, y1=208, x2=943, y2=223, type_id=0, id=0
Rectangle 221: x1=944, y1=208, x2=959, y2=223, type_id=0, id=0
Rectangle 222: x1=960, y1=208, x2=975, y2=223, type_id=0, id=0
Rectangle 223: x1=976, y1=208, x2=991, y2=223, type_id=0, id=0
Rectangle 224: x1=992, y1=208, x2=1007, y2=223, type_id=0, id=0
Rectangle 225: x1=1008, y1=208, x2=1023, y2=223, type_id=0, id=0
Rectangle 226: x1=1024, y1=208, x2=1039, y2=223, type_id=0, id=0
Rectangle 227: x1=1040, y1=208, x2=1055, y2=223, type_id=0, id=0
Rectangle 228: x1=1056, y1=208, x2=1071, y2=223, type_id=0, id=0
Rectangle 229: x1=1072, y1=208, x2=1087, y2=223, type_id=0, id=0
Rectangle 230: x1=1088, y1=208, x2=1103, y2=223, type_id=0, id=0
Rectangle 231: x1=1136, y1=208, x2=1151, y2=223, type_id=0, id=0
Rectangle 232: x1=1152, y1=208, x2=1167, y2=223, type_id=0, id=0
Rectangle 233: x1=1168, y1=208, x2=1183, y2=223, type_id=0, id=0
Rectangle 234: x1=1184, y1=208, x2=1199, y2=223, type_id=0, id=0
Rectangle 235: x1=1200, y1=208, x2=1215, y2=223, type_id=0, id=0
Rectangle 236: x1=1216, y1=208, x2=1231, y2=223, type_id=0, id=0
Rectangle 237: x1=1232, y1=208, x2=1247, y2=223, type_id=0, id=0
Rectangle 238: x1=1248, y1=208, x2=1263, y2=223, type_id=0, id=0
Rectangle 239: x1=1264, y1=208, x2=1279, y2=223, type_id=0, id=0
Rectangle 240: x1=1280, y1=208, x2=1295, y2=223, type_id=0, id=0
Rectangle 241: x1=1296, y1=208, x2=1311, y2=223, type_id=0, id=0
Rectangle 242: x1=1312, y1=208, x2=1327, y2=223, type_id=0, id=0
Rectangle 243: x1=1328, y1=208, x2=1343, y2=223, type_id=0, id=0
Rectangle 244: x1=1344, y1=208, x2=1359, y2=223, type_id=0, id=0
Rectangle 245: x1=1360, y1=208, x2=1375, y2=223, type_id=0, id=0
Rectangle 246: x1=1424, y1=208, x2=1439, y2=223, type_id=0, id=0
Rectangle 247: x1=1440, y1=208, x2=1455, y2=223, type_id=0, id=0
Rectangle 248: x1=1456, y1=208, x2=1471, y2=223, type_id=0, id=0
Rectangle 249: x1=1472, y1=208, x2=1487, y2=223, type_id=0, id=0
Rectangle 250: x1=1488, y1=208, x2=1503, y2=223, type_id=0, id=0
Rectangle 251: x1=1504, y1=208, x2=1519, y2=223, type_id=0, id=0
Rectangle 252: x1=1520, y1=208, x2=1535, y2=223, type_id=0, id=0
Rectangle 253: x1=1536, y1=208, x2=1551, y2=223, type_id=0, id=0
Rectangle 254: x1=1552, y1=208, x2=1567, y2=223, type_id=0, id=0
Rectangle 255: x1=1568, y1=208, x2=1583, y2=223, type_id=0, id=0
Rectangle 256: x1=1584, y1=208, x2=1599, y2=223, type_id=0, id=0
Rectangle 257: x1=1600, y1=208, x2=1615, y2=223, type_id=0, id=0
Rectangle 258: x1=1616, y1=208, x2=1631, y2=223, type_id=0, id=0
Rectangle 259: x1=1632, y1=208, x2=1647, y2=223, type_id=0, id=0
Rectangle 260: x1=1648, y1=208, x2=1663, y2=223, type_id=0, id=0
Rectangle 261: x1=1664, y1=208, x2=1679, y2=223, type_id=0, id=0
Rectangle 262: x1=1680, y1=208, x2=1695, y2=223, type_id=0, id=0
Rectangle 263: x1=1696, y1=208, x2=1711, y2=223, type_id=0, id=0
Rectangle 264: x1=1712, y1=208, x2=1727, y2=223, type_id=0, id=0
Rectangle 265: x1=1728, y1=208, x2=1743, y2=223, type_id=0, id=0
Rectangle 266: x1=1744, y1=208, x2=1759, y2=223, type_id=0, id=0
Rectangle 267: x1=1760, y1=208, x2=1775, y2=223, type_id=0, id=0
Rectangle 268: x1=1776, y1=208, x2=1791, y2=223, type_id=0, id=0
Rectangle 269: x1=1792, y1=208, x2=1807, y2=223, type_id=0, id=0
Rectangle 270: x1=1808, y1=208, x2=1823, y2=223, type_id=0, id=0
Rectangle 271: x1=1824, y1=208, x2=1839, y2=223, type_id=0, id=0
Rectangle 272: x1=1840, y1=208, x2=1855, y2=223, type_id=0, id=0
Rectangle 273: x1=1856, y1=208, x2=1871, y2=223, type_id=0, id=0
Rectangle 274: x1=1872, y1=208, x2=1887, y2=223, type_id=0, id=0
Rectangle 275: x1=1888, y1=208, x2=1903, y2=223, type_id=0, id=0
Rectangle 276: x1=1904, y1=208, x2=1919, y2=223, type_id=0, id=0
Rectangle 277: x1=1920, y1=208, x2=1935, y2=223, type_id=0, id=0
Rectangle 278: x1=1936, y1=208, x2=1951, y2=223, type_id=0, id=0
Rectangle 279: x1=1952, y1=208, x2=1967, y2=223, type_id=0, id=0
Rectangle 280: x1=1968, y1=208, x2=1983, y2=223, type_id=0, id=0
Rectangle 281: x1=1984, y1=208, x2=1999, y2=223, type_id=0, id=0
Rectangle 282: x1=2000, y1=208, x2=2015, y2=223, type_id=0, id=0
Rectangle 283: x1=2016, y1=208, x2=2031, y2=223, type_id=0, id=0
Rectangle 284: x1=2032, y1=208, x2=2047, y2=223, type_id=0, id=0
Rectangle 285: x1=2048, y1=208, x2=2063, y2=223, type_id=0, id=0
Rectangle 286: x1=2064, y1=208, x2=2079, y2=223, type_id=0, id=0
Rectangle 287: x1=2080, y1=208, x2=2095, y2=223, type_id=0, id=0
Rectangle 288: x1=2096, y1=208, x2=2111, y2=223, type_id=0, id=0
Rectangle 289: x1=2112, y1=208, x2=2127, y2=223, type_id=0, id=0
Rectangle 290: x1=2128, y1=208, x2=2143, y2=223, type_id=0, id=0
Rectangle 291: x1=2144, y1=208, x2=2159, y2=223, type_id=0, id=0
Rectangle 292: x1=2160, y1=208, x2=2175, y2=223, type_id=0, id=0
Rectangle 293: x1=2176, y1=208, x2=2191, y2=223, type_id=0, id=0
Rectangle 294: x1=2192, y1=208, x2=2207, y2=223, type_id=0, id=0
Rectangle 295: x1=2208, y1=208, x2=2223, y2=223, type_id=0, id=0
Rectangle 296: x1=2224, y1=208, x2=2239, y2=223, type_id=0, id=0
Rectangle 297: x1=2240, y1=208, x2=2255, y2=223, type_id=0, id=0
Rectangle 298: x1=2256, y1=208, x2=2271, y2=223, type_id=0, id=0
Rectangle 299: x1=2272, y1=208, x2=2287, y2=223, type_id=0, id=0
Rectangle 300: x1=2288, y1=208, x2=2303, y2=223, type_id=0, id=0
Rectangle 301: x1=2304, y1=208, x2=2319, y2=223, type_id=0, id=0
Rectangle 302: x1=2320, y1=208, x2=2335, y2=223, type_id=0, id=0
Rectangle 303: x1=2336, y1=208, x2=2351, y2=223, type_id=0, id=0
Rectangle 304: x1=2352, y1=208, x2=2367, y2=223, type_id=0, id=0
Rectangle 305: x1=2368, y1=208, x2=2383, y2=223, type_id=0, id=0
Rectangle 306: x1=2384, y1=208, x2=2399, y2=223, type_id=0, id=0
Rectangle 307: x1=2400, y1=208, x2=2415, y2=223, type_id=0, id=0
Rectangle 308: x1=2416, y1=208, x2=2431, y2=223, type_id=0, id=0
Rectangle 309: x1=2432, y1=208, x2=2447, y2=223, type_id=0, id=0
Rectangle 310: x1=2480, y1=208, x2=2495, y2=223, type_id=0, id=0
Rectangle 311: x1=2496, y1=208, x2=2511, y2=223, type_id=0, id=0
Rectangle 312: x1=2512, y1=208, x2=2527, y2=223, type_id=0, id=0
Rectangle 313: x1=2528, y1=208, x2=2543, y2=223, type_id=0, id=0
Rectangle 314: x1=2544, y1=208, x2=2559, y2=223, type_id=0, id=0
Rectangle 315: x1=2560, y1=208, x2=2575, y2=223, type_id=0, id=0
Rectangle 316: x1=2576, y1=208, x2=2591, y2=223, type_id=0, id=0
Rectangle 317: x1=2592, y1=208, x2=2607, y2=223, type_id=0, id=0
Rectangle 318: x1=2608, y1=208, x2=2623, y2=223, type_id=0, id=0
Rectangle 319: x1=2624, y1=208, x2=2639, y2=223, type_id=0, id=0
Rectangle 320: x1=2640, y1=208, x2=2655, y2=223, type_id=0, id=0
Rectangle 321: x1=2656, y1=208, x2=2671, y2=223, type_id=0, id=0
Rectangle 322: x1=2672, y1=208, x2=2687, y2=223, type_id=0, id=0
Rectangle 323: x1=2688, y1=208, x2=2703, y2=223, type_id=0, id=0
Rectangle 324: x1=2704, y1=208, x2=2719, y2=223, type_id=0, id=0
Rectangle 325: x1=2720, y1=208, x2=2735, y2=223, type_id=0, id=0
Rectangle 326: x1=2736, y1=208, x2=2751, y2=223, type_id=0, id=0
Rectangle 327: x1=2752, y1=208, x2=2767, y2=223, type_id=0, id=0
Rectangle 328: x1=2768, y1=208, x2=2783, y2=223, type_id=0, id=0
Rectangle 329: x1=2784, y1=208, x2=2799, y2=223, type_id=0, id=0
Rectangle 330: x1=2800, y1=208, x2=2815, y2=223, type_id=0, id=0
Rectangle 331: x1=2816, y1=208, x2=2831, y2=223, type_id=0, id=0
Rectangle 332: x1=2832, y1=208, x2=2847, y2=223, type_id=0, id=0
Rectangle 333: x1=2848, y1=208, x2=2863, y2=223, type_id=0, id=0
Rectangle 334: x1=2864, y1=208, x2=2879, y2=223, type_id=0, id=0
Rectangle 335: x1=2880, y1=208, x2=2895, y2=223, type_id=0, id=0
Rectangle 336: x1=2896, y1=208, x2=2911, y2=223, type_id=0, id=0
Rectangle 337: x1=2912, y1=208, x2=2927, y2=223, type_id=0, id=0
Rectangle 338: x1=2928, y1=208, x2=2943, y2=223, type_id=0, id=0
Rectangle 339: x1=2944, y1=208, x2=2959, y2=223, type_id=0, id=0
Rectangle 340: x1=2960, y1=208, x2=2975, y2=223, type_id=0, id=0
Rectangle 341: x1=2976, y1=208, x2=2991, y2=223, type_id=0, id=0
Rectangle 342: x1=2992, y1=208, x2=3007, y2=223, type_id=0, id=0
Rectangle 343: x1=3008, y1=208, x2=3023, y2=223, type_id=0, id=0
Rectangle 344: x1=3024, y1=208, x2=3039, y2=223, type_id=0, id=0
Rectangle 345: x1=3040, y1=208, x2=3055, y2=223, type_id=0, id=0
Rectangle 346: x1=3056, y1=208, x2=3071, y2=223, type_id=0, id=0
Rectangle 347: x1=3072, y1=208, x2=3087, y2=223, type_id=0, id=0
Rectangle 348: x1=3088, y1=208, x2=3103, y2=223, type_id=0, id=0
Rectangle 349: x1=3104, y1=208, x2=3119, y2=223, type_id=0, id=0
Rectangle 350: x1=3120, y1=208, x2=3135, y2=223, type_id=0, id=0
Rectangle 351: x1=3136, y1=208, x2=3151, y2=223, type_id=0, id=0
Rectangle 352: x1=3152, y1=208, x2=3167, y2=223, type_id=0, id=0
Rectangle 353: x1=3168, y1=208, x2=3183, y2=223, type_id=0, id=0
